# eps[MeV/(fm^3)]	p[MeV/(fm^3)]	n[fm^{-3}]	mu[MeV]
9.296966637500004e-6	8.968750000000003e-10	9.976e-9	932.0232069466725
4.658594823250002e-6	3.2868750000000006e-10	5.e-9		931.7847021500005
3.7008106470000017e-6	2.444375e-10		3.972e-9	931.7862750503529
1.4729091555000006e-6	6.096875000000001e-11	1.581e-9	931.669907811512
5.864672610000003e-7	1.4487500000000004e-11	6.294e-10	931.8108492214811
2.334634039000001e-7	3.29125e-12		2.506e-10	931.6308665203516
9.291349135000004e-8	7.193750000000002e-13	9.976e-11	931.3774130412995
3.700248896750002e-8	1.5193750000000003e-13	3.972e-11	931.5871325528706
1.4729091555000007e-8	3.1050000000000004e-14	1.581e-11	931.6333083491464
5.864672610000003e-9	6.0900000000000015e-15	6.295e-12	931.6407783955525
6.460127875000003e-10	1.1875000000000003e-16	6.93e-13	932.1975559163064
1.1909105300000006e-10	3.637500000000001e-18	1.27e-13	937.7248554133863
2.533493627500001e-11	1.0625000000000002e-19	2.72e-14	931.4314846047797
